,school,number_of_applicants,accept_rate,sat_25th_percentile,accepted_applicants
0,Stanford University,47452,0.043,1440.0,2040
1,Harvard College,42749,0.047,1460.0,2009
2,Princeton University,35370,0.055,1440.0,1945
3,Columbia University,40203,0.055,1450.0,2211
4,Yale University,36844,0.061,1460.0,2247
5,California Institute of Technology,8367,0.064,1530.0,535
6,Massachusetts Institute of Technology,21706,0.067,1500.0,1454
7,Brown University,38674,0.071,1440.0,2746
8,University of Chicago,32283,0.073,1490.0,2357
9,Pomona College,10401,0.07400000000000001,1390.0,770
10,University of Pennsylvania,44961,0.077,1450.0,3462
11,Dartmouth College,23650,0.079,1440.0,1868
12,Bowdoin College,9332,0.08800000000000001,1330.0,821
13,Duke University,35767,0.08900000000000001,1450.0,3183
14,Swarthmore College,11442,0.08900000000000001,1380.0,1018
15,Northwestern University,40585,0.091,1440.0,3693
16,Vanderbilt University,37310,0.091,1460.0,3395
17,Claremont McKenna College,6066,0.10300000000000001,1360.0,625
18,Johns Hopkins University,29129,0.106,1470.0,3088
19,Cornell University,49114,0.109,1400.0,5353
20,Rice University,20923,0.111,1450.0,2322
21,Amherst College,10569,0.113,1410.0,1194
22,Barnard College,9320,0.11800000000000001,1340.0,1100
23,Bates College,8222,0.121,1270.0,995
24,University of California—​Los Angeles,111322,0.12300000000000001,1290.0,13693
25,Tulane University,42185,0.129,1360.0,5442
26,University of Southern California,64352,0.13,1350.0,8366
27,Williams College,9560,0.13,1410.0,1243
28,Colby College,12313,0.13,1350.0,1601
29,Pitzer College,4358,0.133,1340.0,580
30,Colorado College,9456,0.135,1300.0,1277
31,Harvey Mudd College,4045,0.13699999999999998,1490.0,554
32,Georgetown University,22872,0.145,1370.0,3316
33,University of California—​Berkeley,89621,0.14800000000000002,1300.0,13264
34,Tufts University,22766,0.15,1390.0,3415
35,Washington University in St. Louis,31320,0.15,1470.0,4698
36,Middlebury College,9754,0.154,1360.0,1502
37,Carnegie Mellon University,27634,0.154,1460.0,4256
38,University of Notre Dame,22200,0.158,1400.0,3508
39,The Cooper Union,2447,0.16,1283.0,392
40,New York University,79462,0.162,1370.0,12873
41,Haverford College,4963,0.163,1380.0,809
42,Wesleyan University,13264,0.165,1320.0,2189
43,Hamilton College,8279,0.165,1370.0,1366
44,Northeastern University,62263,0.18100000000000002,1390.0,11270
45,Davidson College,5982,0.18100000000000002,1310.0,1083
46,Emory University,27559,0.185,1350.0,5098
47,Carleton College,7382,0.19,1360.0,1403
48,Georgia Institute of Technology,36856,0.20600000000000002,1300.0,7592
49,Washington and Lee University,5855,0.212,1348.0,1241
50,Wellesley College,6395,0.21600000000000003,1360.0,1381
51,Boston University,64481,0.221,1330.0,14250
52,Colgate University,9951,0.226,1330.0,2249
53,University of North Carolina—​Chapel Hill,42466,0.226,1300.0,9597
54,University of Michigan—​Ann Arbor,64972,0.22899999999999998,1340.0,14879
55,Vassar College,8961,0.237,1370.0,2124
56,Rhode Island School of Design,3913,0.239,1180.0,935
57,University of Virginia,40839,0.239,1340.0,9761
58,Grinnell College,7349,0.244,1370.0,1793
59,Babson College,6362,0.24,1270.0,1527
60,University of California—​Irvine,95568,0.265,1180.0,25326
61,University of Miami,38919,0.271,1280.0,10547
62,Boston College,35552,0.272,1370.0,9670
63,Villanova University,22909,0.282,1320.0,6460
64,University of Richmond,12356,0.28300000000000003,1290.0,3497
65,California State Polytechnic University—​San Luis Obispo,54072,0.284,1250.0,15356
66,Trinity University,9864,0.28800000000000003,1290.0,2841
67,Case Western Reserve University,26642,0.293,1350.0,7806
68,University of Rochester,20216,0.295,1300.0,5964
69,University of California—​Santa Barbara,93457,0.29600000000000004,1260.0,27663
70,Wake Forest University,12559,0.29600000000000004,1320.0,3717
71,Skidmore College,11102,0.3,1220.0,3331
72,University of California—​San Diego,97901,0.302,1250.0,29566
73,Franklin and Marshall College,9502,0.304,1250.0,2889
74,Brandeis University,11798,0.311,1280.0,3669
75,Lafayette College,8521,0.315,1250.0,2684
76,American University,18984,0.315,1220.0,5980
77,University of Texas—​Austin,53525,0.318,1240.0,17021
78,Scripps College,3022,0.32,1333.0,967
79,Lehigh University,15649,0.321,1280.0,5023
80,Macalester College,6598,0.32299999999999995,1320.0,2131
81,Smith College,5597,0.325,1340.0,1819
82,Bryn Mawr College,3332,0.331,1290.0,1103
83,Trinity College (Hartford),6096,0.335,1300.0,2042
84,Denison University,8042,0.33899999999999997,1210.0,2726
85,San Diego State University,69842,0.34,1110.0,23746
86,Kenyon College,6662,0.341,1270.0,2272
87,College of the Holy Cross,7200,0.342,1260.0,2462
88,Bucknell University,9845,0.342,1255.0,3367
89,Emerson College,12941,0.35600000000000004,1200.0,4607
90,Pepperdine University,11265,0.35700000000000004,1220.0,4022
91,Hampton University,13028,0.36,1040.0,4690
92,Oberlin College,7708,0.364,1280.0,2806
93,CUNY--Hunter,31030,0.364,1090.0,11295
94,Occidental College,7501,0.36700000000000005,1300.0,2753
95,Connecticut College,6784,0.374,1310.0,2537
96,College of William and Mary,14680,0.377,1320.0,5534
97,Mount Holyoke College,3908,0.382,1270.0,1493
98,Berea College,1576,0.382,1030.0,602
99,Pratt Institute,7941,0.385,1100.0,3057
100,Soka University of America,464,0.38799999999999996,1180.0,180
101,California State University--Los Angeles,39854,0.39,890.0,15543
102,California State University--Long Beach,71297,0.39299999999999996,1040.0,28020
103,Reed College,5815,0.395,1325.0,2297
104,Binghamton University—​SUNY,38755,0.39799999999999996,1310.0,15424
105,Dickinson College,6426,0.401,1240.0,2577
106,University of Tulsa,8526,0.408,1180.0,3479
107,George Washington University,26968,0.409,1280.0,11030
108,University of California—​Davis,76647,0.41200000000000003,1150.0,31579
109,Stevens Institute of Technology,9265,0.414,1330.0,3836
110,St. Lawrence University,6998,0.424,1160.0,2967
111,Union College (Schenectady NY),6086,0.429,1220.0,2611
112,Rensselaer Polytechnic Institute,20402,0.43,1330.0,8773
113,Bentley University,9252,0.43200000000000005,1240.0,3997
114,CUNY--Baruch College,20303,0.434,1130.0,8812
115,Spelman College,9106,0.434,1080.0,3952
116,Loyola Marymount University,18592,0.43799999999999994,1230.0,8143
117,University of Maryland—​College Park,32987,0.441,1280.0,14547
118,Stony Brook University—​SUNY,37079,0.441,1230.0,16352
119,Rhodes College,5207,0.447,1220.0,2328
