,intended_college_major,test_takers,percent,total,reading_writing,math,score_disparity
0,"Agriculture, AgricultureOperations, and Related Sciences",24913.0,0.01,977,496,481,-15
1,Architecture and Related Services,28988.0,0.02,1047,520,527,7
2,"Area, Ethnic, Cultural, and Gender Studies",2629.0,0.0,1040,536,504,-32
3,Biological and Biomedical Sciences,155834.0,0.08,1139,572,566,-6
4,"Business, Management, Marketing, and Related Support Services",221523.0,0.12,1072,534,537,3
5,"Communication, Journalism, and Related Programs",36332.0,0.02,1069,550,519,-31
6,Computer and Information Sciences and Support Services,79736.0,0.04,1156,571,585,14
7,"Construction Trades, General",2500.0,0.0,919,459,460,1
8,Education,71882.0,0.04,1022,519,503,-16
9,Engineering,194127.0,0.11,1139,559,581,22
10,Engineering Technologies/Technicians,33595.0,0.02,1041,512,528,16
11,English Language and Literature/Letters,16233.0,0.01,1119,585,533,-52
12,Family and Consumer Sciences/Human Sciences,6469.0,0.0,953,484,469,-15
13,"Foreign Languages and Literatures, General",9936.0,0.01,1102,566,536,-30
14,Health Professions and related Clinical Sciences,331026.0,0.18,1048,529,518,-11
15,"History, General",12611.0,0.01,1090,563,527,-36
16,"Legal Studies, General",35788.0,0.02,1104,564,540,-24
17,"Liberal Arts and Sciences, General Studies and Humanities",8611.0,0.0,1140,584,556,-28
18,Library Science/Librarianship,283.0,0.0,1105,577,527,-50
19,Mathematics and Statistics,16508.0,0.01,1242,597,646,49
20,Mechanic and Repair Technologies/Technicians,6592.0,0.0,916,458,458,0
21,Military Technologies,7448.0,0.0,984,498,486,-12
22,Multi/Interdisciplinary Studies,2979.0,0.0,1155,581,574,-7
23,Natural resources and Conservation,10147.0,0.01,1104,562,543,-19
24,"Parks, Recreation and Leisure Studies",13039.0,0.01,960,482,478,-4
25,"Personal and Culinary Services, General",6668.0,0.0,929,474,456,-18
26,Philosophy and Religious Studies,3381.0,0.0,1120,572,548,-24
27,Physical Sciences,26318.0,0.01,1203,597,606,9
28,Precision Production,319.0,0.0,932,466,466,0
29,"Psychology, General",75626.0,0.04,1064,546,518,-28
30,Public Administration and Social Service Professions,7852.0,0.0,1001,513,488,-25
31,Security and Protective Services,68177.0,0.04,975,495,479,-16
32,Social Sciences,33356.0,0.02,1164,594,570,-24
33,Theology and Religious Vocations,1991.0,0.0,1096,561,535,-26
34,Transportation and Materials Moving,1105.0,0.0,1019,511,508,-3
35,"Visual and Performing Arts, General",130642.0,0.07,1045,536,510,-26
36,Other,26888.0,0.01,963,488,476,-12
37,Undecided,126939.0,0.07,1069,538,532,-6
